conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_6905fd07808c8195b8cde3e3128c8ef107e004bb4c8d8b6b,4,0,author_1,berlin,False,False
conv_6905fde49274819495847afb828e47480c34d224dd062098,5,0,author_1,berlin,False,False
conv_6905ff67f3dc8197a486a104ed7dfef30357a54387b545b9,5,0,author_1,berlin,False,False
conv_6905ff885a5c8197b6ba14efe3e22dc5065958ec116fcde3,5,0,author_1,berlin,False,False
conv_690600f6870881958e9cdd164d9c63ff0312ce396b6a8916,5,0,author_1,berlin,False,False
conv_6906016710c4819783980468fe61c1520d730c8d17410a1f,5,0,author_1,berlin,False,False
conv_690603324bc88197825de259281f10360b70661459dbd974,5,0,author_1,berlin,False,False
conv_6906038d81308196a900844b64126e4b033250c3eeb6b2d2,5,0,author_1,berlin,False,False
conv_690605fba7d48193a5a7dbcad93abbe5020edc83caded283,3,0,author_1,berlin,False,False
conv_6906060493dc81978eba211f79d1466c0a7882143b7b2499,5,0,author_1,berlin,False,False
conv_690608bcd4948190b0e0537c8efcb2890bfa6746cc6c155a,5,0,author_1,berlin,False,False
conv_69060903cd648190b608b1c4f5e2c04f029470a2bc5e25ae,4,0,author_1,berlin,False,False
conv_69060bf449c48193b8787a040f2c6cff04d2228b8948f6a3,5,0,author_1,berlin,False,False
conv_69060d74ac74819697c8c9f8037f008c05d2c0ce4d70f6f6,5,0,author_1,berlin,False,False
conv_69060e082150819686d3a178a563b9d20cc625429a781144,5,0,author_1,berlin,False,False
conv_69060fc254348190a95b487b0feb7d8d0b18e00dc9d9b394,5,0,author_1,berlin,False,False
conv_69060fdd30bc81948a1a502ca8e14d870fe20fcf317baabd,4,0,author_1,berlin,False,False
conv_69061147effc8195a0851bc840d7659e0015e7d2e4dbaca9,5,0,author_1,berlin,False,False
conv_6906125511dc8194b7e86b2ceb2db9230f2679a68bc9828f,5,0,author_1,berlin,False,False
conv_690612ba3d188194a31ba076907f440b06b3fa5203bdfe19,5,0,author_1,berlin,False,False
conv_690613eba1a4819585f7582cf4f5889f0c88ddd116445b79,3,0,author_1,berlin,False,False
conv_69061482ee1c819097b31a2de04bf2e00cb21cbae7eef217,4,0,author_1,berlin,False,False
conv_690615f940948193b7bc8a56d5a2c97301cf548465e29916,4,0,author_1,berlin,False,False
conv_6906162d367881949deb22032aa59e550b3635db72909930,5,0,author_1,berlin,False,False
conv_690617b5f8f48195992ca7ccd80f1b0806edb95a7220efd5,5,0,author_1,berlin,False,False
conv_690618f1a11c8193afdfa2d62fc8a2ce06bbf4220f93f675,5,0,author_1,berlin,False,False
conv_69061adc0f188197ac2d1ee16bb67ce704037da1811f93ec,4,0,author_1,berlin,False,False
conv_69061c14b67881978eb819a6b2af49960fa6d7b85119446f,5,0,author_1,berlin,False,False
conv_69061cbb2a8481958fb515e6d894fcd501f93320d96b2c1d,5,4,author_1,berlin,True,True
conv_69061e0579fc8197b7d09bd602ef16d70b5fe3b9324e54cc,5,0,author_1,berlin,False,False
conv_69061eb76e3481939625e252017a87da0357c4805ade0537,3,0,author_1,berlin,False,False
conv_69062012c8888193865bbdf0a767c6cf0521c2986ae7d99f,1,0,author_1,berlin,False,False
conv_690620eca4088194b5740e88a1555abb0cf0405970b7ae3c,5,0,author_1,berlin,False,False
conv_6906211fe8208195958baa5498d8fa870b4f3980ab401849,2,0,author_1,berlin,False,False
conv_6906223e16348195be25b592e77c731b073bbf0c11ffd6d0,5,0,author_1,berlin,False,False
conv_69062518b97081909c88f73b0786cbf50c51a222b23f5d1f,5,0,author_1,berlin,False,False
conv_690625a610e08194b21ef3d28df7f02a0225a42be85ccb3d,1,0,author_1,berlin,False,False
conv_6906264528348190a9fea2c5db20a1d20c2c3ed58bc4723f,2,0,author_1,berlin,False,False
conv_690627f3a9f08194977b3401d25fb5410bf5246a9b4565ab,2,0,author_1,berlin,False,False
conv_690629a948a08193bfdce68f096418a1071ddd4817e7f80c,5,0,author_1,berlin,False,False
conv_690629a9d1048193a82bb47357300157012151cc1b1e83af,1,0,author_1,berlin,False,False
conv_69062a2cd540819799b99254b3bd43ea0edc6e1368bb1a5f,5,0,author_1,berlin,False,False
conv_69062b3fc2d881948bbeb6288933d1fe0d925d6bf66ce0bd,4,0,author_1,berlin,False,False
conv_69062c65d4588196925ab2ccb2384f96094054d970636eb4,5,0,author_1,berlin,False,False
conv_69062d09ede48194af3f88c5e5b74c6505a06028785744ab,3,0,author_1,berlin,False,False
conv_69062e7dd198819493b77bdd470d2e9b06691704f507b2f4,5,0,author_1,berlin,False,False
conv_69062f932b748195b4b135206100546e0a736fbab16bd5f0,4,0,author_1,berlin,False,False
conv_69062f96442081939b32d8df1fa5771e0af81c6f475a5983,3,0,author_1,berlin,False,False
conv_6906307195bc819787a21369b74d1ee50cfd4f03aff9804f,5,3,author_1,berlin,True,True
conv_69063135407481968ffe806291fcf97e0f8e99003273869c,5,0,author_1,berlin,False,False
conv_6906326be90081959274f5866b02e7ce02da78fc35e0a069,5,0,author_1,berlin,False,False
conv_6906327eba048193badb10ed076b56bc0e2dd618e458c099,2,0,author_1,berlin,False,False
conv_69063417c3008190b50d2f96309da568012f44e623f8486e,5,0,author_1,berlin,False,False
conv_690634c4c37081968fc65617a68d3ea20b1cb9fa37f925ea,5,0,author_1,berlin,False,False
conv_6906370756348196bec29a38b62e464e0c1ace5f745ae5e0,3,0,author_1,berlin,False,False
conv_69063737620c8195a330df525200f843090f66aa35065cef,4,0,author_1,berlin,False,False
conv_690637bccb4881908b03ae112e72560d0ce86ed27dcb5420,5,0,author_1,berlin,False,False
conv_6906391a24488193b73a6219c0b1660c02a7b560f667bb78,4,0,author_1,berlin,False,False
conv_69063a9662248195a8f955a95be569900f4db02faeb0e530,5,0,author_1,berlin,False,False
conv_69063c2adad88193afdcbecebbfaf2e501aef9c20cd6ba6e,4,4,author_1,berlin,True,True
conv_69063c952d608194b7e524d15c38836f068be60957a063d4,5,0,author_1,berlin,False,False
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,5,5,author_1,berlin,True,True
conv_69063e9a264c8197938263ed50edee4e080a7958fb13a8eb,5,0,author_1,berlin,False,False
conv_69063f68591c8190b4d187261f839aef08e3bb88c8c068cb,2,0,author_1,berlin,False,False
conv_69063fd2219c8196a0bdef07b75901920f9696a745cc35d4,5,0,author_1,berlin,False,False
conv_690642587a808194a02c17e37a17f56a0273bf7d6102a673,5,0,author_1,berlin,False,False
